Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Corrispondenza pubblica e operazioni portuali,160.650,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
2,Corrispondenza pubblica e operazioni portuali,160.700,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
3,Corrispondenza pubblica e operazioni portuali,160.750,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
4,Corrispondenza pubblica e operazioni portuali,160.800,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
5,Corrispondenza pubblica e operazioni portuali,160.850,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
6,Sicurezza nave-nave,156.300,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
7,Corrispondenza pubblica e operazioni portuali,160.950,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
8,Commerciale nave - nave,156.400,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
9,Commerciale,156.450,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
10,Commerciale,156.500,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
11,Commerciale,156.550,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
12,Operazioni portuali,156.600,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
13,Sicurezza nave-nave in navigazione,156.650,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
14,Operazioni portuali,156.700,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
15,Operazioni portuali - Solo Bassa Potenza,156.750,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
16,Chiamata e soccorso internazionale,156.800,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
17,Operazioni portuali - Solo Bassa Potenza,156.850,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
18,Operazioni portuali,161.500,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
19,Operazioni portuali,161.550,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
20,Operazioni portuali,161.600,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
21,Operazioni portuali,161.650,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
22,Operazioni portuali,161.700,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
23,Corrispondenza pubblica,161.750,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
24,Corrispondenza pubblica,161.800,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
25,Corrispondenza pubblica,161.850,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
26,Corrispondenza pubblica,161.900,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
27,Corrispondenza pubblica,161.950,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
28,Corrispondenza pubblica,162.000,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
60,Corrispondenza pubblica,160.625,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
61,Corrispondenza pubblica,160.675,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
62,Corrispondenza pubblica,160.725,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
63,Corrispondenza pubblica,160.775,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
64,Corrispondenza pubblica,160.825,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
65,Corrispondenza pubblica,160.875,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
66,Corrispondenza pubblica,160.925,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
67,Nave - nave + Operazioni Portuali,156.375,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
68,Bollettino Nautico - Operazioni Portuali ,156.425,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
69,Nave - Nave in Operazioni portuali,156.475,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
70,Riservato al DSC,156.525,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
71,Nave - nave + Operazioni Portuali,156.575,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
72,Nave - nave + Nave - Velivolo,156.625,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
73,Nave - nave + Nave - Velivolo,156.675,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
74,Operazioni portuali,156.725,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
75,Nave - Nave in porto - Solo Bassa Potenza,156.775,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
76,Nave - Nave in porto - Solo Bassa Potenza,156.825,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
77,nave - nave,156.875,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
78,Corrispondenza pubblica + Operazioni Portuali,161.525,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
79,Operazioni portuali,161.575,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
80,Operazioni portuali,161.625,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
81,Corrispondenza pubblica + Operazioni Portuali,161.675,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
82,Corrispondenza pubblica + Operazioni Portuali,161.725,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
83,Corrispondenza pubblica,161.775,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
84,Corrispondenza pubblica,161.825,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
85,Corrispondenza pubblica,161.875,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
86,Corrispondenza pubblica,161.925,-,4.600,,88.5,88.5,23,NN,FM,5,,,,,,
87,Corrispondenza pubblica,157.375,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
88,Corrispondenza pubblica,157.425,,0.000,,88.5,88.5,23,NN,FM,5,,,,,,
